company,market,market_ru,about,description,earnings,stage,inter_track,company_link,sbis_link
statanly technologies,business software,программное обеспечение для бизнеса,сегментирование клиентской базы,"statanly technologies — компания занимается разработкой систем и сервисов на базе машинного обучения и искусственного интеллекта. одним из важных решений компании является прогнозная система оттока клиентов, позволяющая на ранней стадии выделять сегменты клиентской базы, которые склонны к оттоку.",до 100 млн.руб,pre-seed,False,http://churn.statanly.com/,https://sbis.ru/contragents/7805729198/780501001
stopphish,cybersecurity,информационная безопасность,проверка безопасности компании,"платформа по выявлению сотрудников, уязвимых к социальной инженерии и фишингу, система отправляет ловушки сотрудникам и обучает тех, кто ""попался"".планируем внедрить ии, чтобы он ""взламывал"" сотрудников и максимально приблизить атаки к хакерским, но уже сейчас мы снижаем риск взлома в 20+ раз.тестировали продукт с ростех, росатом, amway, роскачество, и еще 20+ организаций.",до 100 млн.руб,pre-seed,False,https://stopphish.ru/,https://sbis.ru/contragents/1103046305/110301001
харт.зон,medtech,медицинские технологии,мониторинг экг,"компания разработала технологию непрерывного мониторинга электрокардиограммы (экг) для носимых устройств и аксессуаров, таких как наушники, очки, часы, головные уборы, аксессуары для одежды и ювелирные изделия.технология непрерывного мониторинга экг heart.zone™ позволяет следить за нагрузкой на сердце в режиме реального времени и предупреждать пользователя о сердечном стрессе.микромодуль heart.zone™ — это миниатюрный одноканальный датчик экг с электродами в берушах. он предназначен для интеграции в наушники.",до 100 млн.руб,pre-seed,False,https://web.archive.org/web/20220306073156/https://navigator.sk.ru/orn/1122041,
нейрокс,medtech,медицинские технологии,мониторинг спортсменов,"нейротрекер для мониторинга, прогнозирования и управления психофизическим состоянием спортсмена с биологической обратной связью. нейротрекер относится к средствам диагностики психофизиологического состояния человека в покое и процессе профессиональной деятельности и может быть использовано как в домашних условиях, так и спец учреждениях (фитнес-центры, клиники, оздоровительные центры), а также для автоматического контроля состояния операторов, в частности водителей транспортных средств.",до 100 млн.руб,pre-seed,False,http://www.neyrox.com/,
myangelvitalsigns,medtech,медицинские технологии,мониториг электрокардиограммы,"устройство myangel vitalsigns предназначено для отслеживания жизненно важных показателей - электрокардиограммы (3-х электродный экг), spo2, температуры тела в районе сердца, частоты сердечных сокращений и дыхания, и, что очень важно, артериального давления. система построена таким образом, что при любых признаках ухудшения здоровья, которое оценивается по этим параметрам, она немедленно отправляет сигнал на смартфон пользователя и контактам, внесенным в специализированный список.для контроля жизнедеятельности человека myangel vitalsigns проводит комбинаторный анализ физических параметров, а преобразованную информацию непрерывно передает врачам в соответствии с их специализацией и прерогативами.",до 100 млн.руб,pre-seed,False,https://evercare.ru/myangel-vitalsigns,
кардиокварк,medtech,медицинские технологии,мониторг экг,"система кардиомониторинга cardioqvark, это устройство для нятие показаний экг. выполненное в виде чехла для телефона, что позволяет пациенту носить данное устройство всегда с собой, а также позволяет подключать его к сети интернет,wifi.",до 100 млн.руб,pre-seed,False,https://cardioqvark.ru/,
интерсел рэнд,medtech,медицинские технологии,измерение сахара,"«lcm biosensor» – новый неинвазивный глюкометр для бескровного измерения сахара крови и ранней диагностики сахарного диабета 2 типа.метод основан на высокоточных измерениях осмотического давления межклеточного вещества живой ткани. он разработан на базе научного открытия гетерофазного конденсированного состояния межклеточного вещества живой биологической ткани.прототип монитора «lcm biosensor» представляет собой мультисенсорное устройство, в котором технология межклеточного осмотического биосенсора (intercellular osmotic biosensor) интегрирована с технологией микрокалориметра межклеточной гидродинамики (intercellular microfluidics calorimeter).",до 100 млн.руб,pre-seed,False,https://rdintercell.com/,
gordi,medtech,медицинские технологии,генетическая идентификация,"разработчик высокотехнологичных решений в области молекулярной биологии и медицины. производитель продукции для молекулярно-генетической идентификации личности на основе мультиплексного анализа str-локусов хромосомной днк, а также разработчик решений для индивидуализации и идентификации животных.одной из разаработок компании явялется инновационные наборы реагентов для пцр диагностики.",до 100 млн.руб,pre-seed,False,https://gordiz.ru/products/medicine/,
эпигенлаб,medtech,медицинские технологии,днк диагностика,"эпигенетическая днк диагностика: проект, который предполагает разработку пцр тест-систем для диагностики заболеваний, связанных с эпигенетическими изменениями. к ним относятся как возрастные заболевания, такие как онкология, так и ряд других , например, covid-19 . анализ производится на днк крови. команда обладает собственной технологической платформой на базе нового класса ферментов для быстрой разработки тестов.",до 100 млн.руб,pre-seed,False,https://epigenlab.com/ru/,
джейвис диагностикс,medtech,медицинские технологии,выявление ранней стадии онкологии,"разработка in vitro диагностического теста на выявление ранних стадий онкологических заболеваний на основе сыворотки крови.клинические исследования с использованием нового маркера эпителиальных карцином мэк показали высокую чувствительность теста при 95% специфичности при выявлении ранних стадий рпж, рмж, ря и при мониторинге химиотерапии iii и iv стадий эпителиальных опухолей.",до 100 млн.руб,pre-seed,False,http://www.oncomarker.ru/about-us/,
онкоюнайт клиникс,medtech,медицинские технологии,тест-система лечения меланомы,"компания занимается разработкой тест-системы для раннего обнаружения и мониторинга эффективности лечения меланомы на основе экзосомальных микрорнк, и разработка терапевтических агентов",до 100 млн.руб,pre-seed,False,https://oncounite.com/,
иглу,medtech,медицинские технологии,диагностика с помоощью экспресс-тестов,"igloo - комплекс для in vitro диагностики на базе иммунохроматографических экспресс-тестов, реализующий на практике принципы машинного обучения и компьютерного зрениясистема создана для работы с тестами на основе иха и позволяет быстро добавлять новые тесты в линейку, на основе алгоритмов анализа больших данных (5pl регрессий).также указано, чтоцитата:нами разработана система для проведения рефлекто-фотометрии крови, слюны и других жидкостей пациентов с использованием иммунохроматографических методов.",до 100 млн.руб,pre-seed,False,https://navigator.sk.ru/orn/1123991,
аккофриск,medtech,медицинские технологии,определение уровня глюкозы,"acc of risk™ - это доступная, неинвазивная, беспроводная платформа для определения уровня глюкозы. наша революционная технология позволяет людям с диабетом точно контролировать уровень глюкозы в крови для лучшего управления своим состоянием.показания уровня глюкозы можно снимать время от времени или постоянно в течение дня, и результаты мгновенно отображаются на устройстве или могут передаваться через bluetooth в мобильное приложение, где пользователь может управлять данными и получать оповещения.",до 100 млн.руб,pre-seed,False,https://www.accofrisk.com/en/https://www.bodyvo.com/,
demetraai,medtech,медицинские технологии,анализ клеток,"программное обеспечение для автоматизированного анализа морфологии клеток цифровых цитологических микропрепаратов, используемое для поддержки принятия врачебных решений и автоматизации скрининга рака шейки матки. основано на методах машинного обучения и технического зрения.",до 100 млн.руб,pre-seed,False,,
univertus,transport & logistics,транспорт и логистика,цифровой двойник,univertus – интеллектуальная система построения цифрового двойника сотрудника для повышения эффективности управления персоналом с применением технологий ml и ai.,до 100 млн.руб,pre-seed,False,https://univertus.ru/,
око мониторинг,transport & logistics,транспорт и логистика,контроллер транспортной телематики,"универсальный контроллер транспортной телематики, выполняющий функции свыше четырёх отдельных устройств автоэлектроники: навигационного трекера, контроллера телеметрии, двухканального видеорегистратора, сенсора контроля бдительности водителя и онлайн-кабинета для управления автопарком. не требует продвинутых ит-компетенций для внедрения и предназначен для быстрого развёртывания в малых и средних автопарках.",до 100 млн.руб,раунд а,False,https://oko-monitoring.ru/,
теорема,transport & logistics,транспорт и логистика,цифровизация транспорта,"компания ""теорема"" решает проблему исключения человеческого фактора в управлении транспортом, цифровизации всех сервисов вокруг транспорта ""виртуальный транспортный оператор"". рассматривается применение искусственного интеллекта в принятии решений по управлению транспортом. данная система решит текущие проблемы в управлении транспортом (контроль топлива, замена транспорта, ремонты, страхование, маршрутизация), так и решит будущие проблемы в управлении беспилотным транспортом, т.к. проектируется для машин, а не людей. потребителями системы являются автотранспортные предприятия и предприятия, которые эксплуатируют различный транспорт. новая платформа представит собой высокотехнологичную, устойчивую к нагрузкам систему, которая консолидирует и обрабатывает данные от транспорта.",до 100 млн.руб,pre-seed,False,https://tetron.ru/,
автотрекер,transport & logistics,транспорт и логистика,управление транспортным средством,"zavgar online – облачный сервис управления транспортными средствами. его ключевые задачи – это оцифровка процесса эксплуатации автопарка, своевременное определение аномалий и управление не на ощущениях, а на цифрах. элементы системы: fms; приложение для водителя; навигационное оборудование; модуль интеграции и api.",до 100 млн.руб,раунд b,False,https://zavgar.online/,
бейстрек рус/ энерготрак,transport & logistics,транспорт и логистика,бесплитоник,"разработчик технологий беспилотных автомобилей, способных перемещаться по любому рельефу в любых погодных условиях (снег, лет). в основе решений – технология «виртуальных рельс», содержащая алгоритмы оптимального вождения и интеллектуальную систему adas, которая сканирует земную поверхность и навигирует автомобиль с учетом его параметров, погодных условий и транспортных задач.",до 100 млн.руб,pre-seed,False,https://www.basetrack.net/,
csira,transport & logistics,транспорт и логистика,анализ состояния водителя,"csira vision sdp - интеллектуальный модуль, который анализирует с помощью видеокамер состояние водителя, окружающую дорожную обстановку и оповещает об опасной ситуации. сердцем системы является отечественная разработка на основе нейронных сетей и алгоритмов машинного обучения, сочетающая инновационный подход и современный технологии.применение системы предотвращения дтп csira vision sdp позволит сократить количество ремонтов транспортных средств, их простоя, повысить дисциплину и безопасность водителей, и, как следствие, оптимизировать расходы, связанные с эксплуатацией транспортных средств.",до 100 млн.руб,pre-seed,False,https://csira.ru/,
vr concept,business intelligence,бизнес аналитика,по для работы с цифровыми моделями,"компания создает программное обеспечение для работы с цифровыми двойниками и 3d-моделями: приложение виртуального прототипирования для коллективной работы с цифровыми двойниками в виртуальной реальности. vr-concept -коробочное решение, которое интегрируется в другие системы и не требует от пользователя специальных знаний и навыков программирования.",до 100 млн.руб,pre-seed,False,https://vrconcept.net/applications/construction/,
сидиси,transport & logistics,транспорт и логистика,по для технического обслуживания тс,"программное обеспечение группы компаний сидиси предназначено для автоматизации таких бизнес-процессов, как техническое обслуживание и ремонт оборудования (тоир), мониторинг промышленного оборудования и основных производственных активов предприятия, распознавание и анализ объектов в торговле и промышленности с помощью искусственного интеллекта (машинного зрения). система обеспечивает контроль датчиков в режиме онлайн, установленных на промышленном оборудовании, которое требует постоянного мониторинга для снижения простоев и поломок. данные датчиков передаются на мобильные устройства и стационарные компьютеры ответственных лиц и позволяют оперативно реагировать на нештатные ситуации.",до 100 млн.руб,раунд а,False,https://www.cdc.ru/,
damoov,transport & logistics,транспорт и логистика,сбор телематики и gps,"компания занимается разработкой собственной мобильной sdk для сбора, анализа и обработки телематических и gps данных с мобильных устройств и различных сенсоров с последующей обработкой этих данных собственной телематической платформой. решения компании предназначены для разработчиков продуктов в сфере транспорта и мобильности (например, систем мониторинга стиля вождения, состояния автотранспорта).",до 100 млн.руб,pre-seed,False,https://www.damoov.com/,
isg neuro,transport & logistics,транспорт и логистика,прогрозирование аварий,интеллектуальная система прогноза аварий и отказов. оптимизация затрат на поддержание эсплуатационной готовности сложных технических систем за счет прогнозирования безаварийной работы и динамического расчета надежности системы с учетом изменений внешних условий.,до 100 млн.руб,pre-seed,False,https://isgneuro.ru/,
рэнера,transport & logistics,транспорт и логистика,переоборудование спец техники под электро,поставляет электронный транспорт и переоборудует специтехнику под электрическую.,до 100 млн.руб,pre-seed,False,https://renera.ru/production/special-equipment/,
starline,transport & logistics,транспорт и логистика,цифровая автомагистраль,"компания создаёт цифровую модель автомагистрали и оснащает грузовик оборудованием, которое решит задачи локализации автомобиля в пространстве, распознавания объектов и построения маршрутов движения.",до 100 млн.руб,раунд а,False,https://smartcar.starline.ru/,
trafficdata,transport & logistics,транспорт и логистика,по для транспортных систем,"компания trafficdata специализируется на разработке программного обеспечения для интеллектуальных транспортных систем на основе технологий видеоаналитики с глубоким обучением.ответ команды о полезности для urals:из выпадающего списка у нас это ""проектирование и создание ""цифровой местности"" для проверки требований техники и сотрудники с возможностью справится  с поставленной задачей"". что мы можем предложить: умный паркинг, отслеживание маршрутов транспортных средств по государственному регистрационному  знаку.",до 100 млн.руб,pre-seed,False,https://trafficdata.ru/,
skillometer,transport & logistics,транспорт и логистика,профессиональное обучение,"“skillometer” - платформа для профессионального обучения с  системой подбора образовательной траектории на основе рекомендаций нейросети. мы помогаем работодателям автоматизировать корпоративное обучение сотрудников.  работаем с компаниями, которые столкнулись со следующими ситуациями: высокая стоимость обучения; сложность перераспределения сотрудников по филиалам из-за отсутствия понимания текущего уровня их компетенций; сотрудники нарушают технику безопасности, так как не прошли обучение; оценка новых сотрудников или соискателей требует больших временных затрат. что мы делаем? переводим обучение сотрудников в онлайн режим, чтобы каждый прошел в удобное время; автоматизируем периодическую аттестацию сотрудников, включая удаленные подразделения; минимизируем риски совершения производственных ошибок и репутационных потерь.",до 100 млн.руб,pre-seed,False,https://skillometer.ru/,
channelai,transport & logistics,транспорт и логистика,автоматизация hr,"channelai - система hr-аналитики и рекомендательный сервис с элементами искусственного интеллекта по управлению и повышению эффективности источников подбора. channel ai собирает данные из ats, работных сайтов, социальных сетей и карьерного портала, связывает их между собой, формирует отчёты и показывает, использование какого канала и каким образом наиболее эффективно для закрытия вакансии. в связке с собственными модулями организационного развития и проектирования позволяет сделать процесс управления организационной структурой и кросс-функциональными командами в 6 раз быстрее и сократить трудозатраты участников процесса в среднем на 55%.",до 100 млн.руб,pre-seed,False,https://forpeople.company/,
кб аврора,transport & logistics,транспорт и логистика,автономное управление тс,компанией разработана открытая платформа для создания систем управления автономными транспортными средствами (тс) и разработка автопилота на ее основе. проект направлен на создание открытой платформы разработки систем автономного управления тс и системы управления на ее основе. платформа включает в себя средства тестирования и отладки подсистем сбора и анализа сенсорных данных и последующего принятия решений.,до 100 млн.руб,раунд а,False,https://kb-avrora.ru/,
арм,transport & logistics,транспорт и логистика,энергетический комбайн,"целью проекта является разработка энергоэффективного роботизированного зерноуборочного комбайна на основе передовых технологий и патентуемых систем. в конструкции реализованы инновационные энергосберегающие решения. в период с 2011 по 2019 год обеспечен существенный задел и проверена идея работы электрических приводов в составе сельскохозяйственной машины. достигнуты преимущества по сравнению с традиционными комбайнами, позволяющие экономить до 40% углеводородного топлива.",до 100 млн.руб,pre-seed,False,https://armmeh.ru/,
электротранспортные технологии,transport & logistics,транспорт и логистика,межскладская логистика,"компания занимается производством беспилотного электротранспорта для межскладской логистики. реализованы полностью проекты матрешка, грузовик, злектробус, электромобиль в рамках которых созданы автономные транспортные средства: автобус малого класса на 8 пассажиров, автобус на 98 пассажиров, грузовик для перевозки грузов и легковой электромобиль. вся техника обладает автономной системой управления и использует перспективные источники энергии.",до 100 млн.руб,раунд а,False,http://ev-tech.me/ru/#secondpage1,
visy task,transport & logistics,транспорт и логистика,скриниг сотрудников,разработчики программы по автоматизации скоринга сотрудников и принятия управленческих решений.,до 100 млн.руб,pre-seed,False,https://www.visytask.ru/,
сорб иннова,business intelligence,бизнес аналитика,визуализация информации,"компания «сорб иннова» ведет разработку программно-аппаратного комплекса «смартроад» для получения, обработки, хранения и визуализации информации, получаемой с детекторов транспорта. комплекс включает в себя оборудование и программное обеспечение. микроволновые технологии, применяемые в детекторах «смартроад», позволяют решать разнообразные задачи, связанные с мониторингом объектов.",до 100 млн.руб,seed,False,https://www.sorb-eng.ru/ru/projects,
xor-group,transport & logistics,транспорт и логистика,данные о водители в пути,"проект «антисон» разрабатывает технологии анализа данных о водителе в пути (в т.ч. данные о сонливости водителя, наступлении сна, отвлечения от дороги), а также предупреждения водителя. основными наработками проекта являются алгоритмы анализа данных состояния водителя в пути на базе компьютерного зрения, а также рабочий прототип прибора. основной целью развития проекта является обеспечение снижения количества происшествий по вине водителя в пути",до 100 млн.руб,раунд а,False,https://xor-group.ru/,
лаборатория умного вождения,transport & logistics,транспорт и логистика,автоматизация авто,"«лаборатория умного вождения» – российский разработчик универсальной автомобильной телематической платформы и системы lada connect. созданные в «лаборатории умного вождения» аппаратно-программные решения превращают автомобиль в подключённое к сети интернет устройство. специалисты «лаборатории умного вождения» оказывают адаптированный под каждого клиента набор услуг – от круглосуточного мониторинга состояния автомобиля и защиты от угона до анализа эксплуатационных параметров, контроля расходов и оценки безопасности вождения. страховым компаниям решения «лаборатории умного вождения» помогают провести селекцию страхового портфеля и сформировать индивидуальные страховые тарифы для клиентов. автопроизводителям и автопаркам – внедрить инновационные подходы в бизнесе.",до 100 млн.руб,pre-seed,False,https://smartdriving.io/,
ронави роботикс,transport & logistics,транспорт и логистика,роботы для транспортировки,"компания выпустила линейку роботов с разной грузоподъемностью: от 50 до 1 500 кг. разработанные роботы предназначены для транспортировки грузов, организации точек комплектации, поставок комплектующих на производственных линиях.",до 100 млн.руб,seed,False,http://ronavi-robotics.ru/,
атимо.рф,transport & logistics,транспорт и логистика,предрейсовые осмотры,"предрейсовые медицинские и технические осмотры в мобильном приложении. поиск ближайших авторизованных пунктов осмотра. все необходимые журналы онлайн. важные уточнения от фаундера:1. сейчас решение тестируется и открыты продажи на целевом клиенте такси, но оно универсально для всех категорий транспорта. 2. приложение готово для андроид в режиме тестирования (скачать пока в магазине нельзя, можем дать апк файл для тестирования). 3. мы работаем со всеми крупными производителями пак для осмотра водителей (квазар, медпоинт24) и сами разрабатываем свой (нас не устраивает то что есть на рынке).",до 100 млн.руб,pre-seed,False,https://xn--80aqmir.xn--p1ai/,
leoni,edtech,образовательные технологии,подбор внешкольного образования,сервис для подбора внешкольного образования для детей,до 100 млн.руб,pre-seed,False,,
headz,hrtech,технология найма людей,подбор разработчиков,платформa быстрого подбора проверенныхразработчиков,до 100 млн.руб,pre-seed,False,,
fiatum,web3,технология веб3,банк криптовалют,криптовалютный банк,до 100 млн.руб,pre-seed,False,,
tiadar,gaming,игровая индустрия,игра,многопользовательская онлайн-игра,до 100 млн.руб,pre-seed,False,,
adapted,edtech,образовательные технологии,повышение эффективности обучения,повышение эффективности обучения офлайн и онлайн,до 100 млн.руб,pre-seed,False,,
enjoy box,foodtech,пищевые технологии,доставка продуктво,доставка рационов,до 100 млн.руб,pre-seed,False,,
ai disraeli copywriting,ai,искусственный интеллект,копирайтинг ии,копирайтинг с помощью искусственного интеллекта,до 100 млн.руб,pre-seed,False,,
едуем,foodtech,пищевые технологии,доставка еды в поезда,доставка еды в поезда,до 100 млн.руб,pre-seed,False,,
paycon delivery,foodtech,пищевые технологии,сборка заказов для дарк стор,оборудование для сборки заказов дарксторов,до 100 млн.руб,pre-seed,False,,
vivigle,web3,технология веб3,аналитика для криптовалют,глобальная аналитическаяи рейтиновая платформадля криптовалют,до 100 млн.руб,pre-seed,False,,
muver,business software,программное обеспечение для бизнеса,повышение эффективности работы,повышение эффективности работы таксистов в агрегаторах,до 100 млн.руб,pre-seed,False,,
мой девайс,worktech,рабочая технология,подписка на девайсы,сервис подписки на девайсы для b2b,до 100 млн.руб,pre-seed,False,,
darallpro,business software,программное обеспечение для бизнеса,платформа для досатвки,it-платформа для доставки,до 100 млн.руб,pre-seed,False,,
pro control,consumer goods & services,потребительские товары и услуги,метка для товаров,некопируемая метка для товаров,до 100 млн.руб,pre-seed,False,,
ninetales,consumer goods & services,потребительские товары и услуги,редактор,графический редактор,до 100 млн.руб,pre-seed,False,,
success rockets,aero & spacetech,аэро и космические технологии,частная космическая авиация,частная космическая авиация,до 100 млн.руб,pre-seed,False,,
pizzabot,foodtech,пищевые технологии,роботизированная пиццерия,роботизированная пиццерия,до 100 млн.руб,pre-seed,False,,
smartan,fintech,финансовые технологии,платформа для оценки финансового положения малого бизнеса,платформа для оценки финансового положения малого бизнеса,до 100 млн.руб,pre-seed,False,,
selfexpert,edtech,образовательные технологии,консультации по уникальной карьерной траектории,консультации по уникальной карьерной траектории,до 100 млн.руб,pre-seed,False,,
mamapro,medtech,медицинские технологии,мобильное приложение для беременных и мам,мобильное приложение для беременных и мам,до 100 млн.руб,pre-seed,False,,
pooling,transport & logistics,транспорт и логистика,онлайн-платформа для оптимизации стоимости доставки,онлайн-платформа для оптимизации стоимости доставки,до 100 млн.руб,pre-seed,False,,
aitox,worktech,рабочая технология,биржа для фрилансеров,биржа для фрилансеров,до 100 млн.руб,pre-seed,False,,
wowcube,edtech,образовательные технологии,кубик рубика с дисплеями,кубик рубика с дисплеями,до 100 млн.руб,pre-seed,False,,
busmanity,transport & logistics,транспорт и логистика,маркетплейс автобусных поездок,маркетплейс автобусных поездок,до 100 млн.руб,pre-seed,False,,
подбор,hrtech,технология найма людей,сервис для поиска it специалистов,сервис для поиска it специалистов,до 100 млн.руб,pre-seed,False,,
hello move,legal & regtech,юриспруденция и регуляторные технологии,сервис по переезду зарубеж,сервис по переезду зарубеж,до 100 млн.руб,pre-seed,False,,
tutgood,edtech,образовательные технологии,подписка на репетиторов,подписка на репетиторов,до 100 млн.руб,pre-seed,False,,
взнания,edtech,образовательные технологии,платформа для изучения иностранных слов,платформа для изучения иностранных слов,до 100 млн.руб,pre-seed,False,,
tensy,edtech,образовательные технологии,наставники по домашним заданиям и индивидуальные мини-уроки,наставники по домашним заданиям и индивидуальные мини-уроки,до 100 млн.руб,pre-seed,False,,
izidz,edtech,образовательные технологии,сервис по помощи в решении домашних заданий,сервис по помощи в решении домашних заданий,до 100 млн.руб,pre-seed,False,,
soqol,business software,программное обеспечение для бизнеса,инновационная субд,инновационная субд,до 100 млн.руб,pre-seed,False,,
zinpa,travel,,контент для трэвел,контент для трэвел,до 100 млн.руб,pre-seed,False,,
talanty,hrtech,технология найма людей,сервис по поиску работы через поиск талантов,сервис по поиску работы через поиск талантов,до 100 млн.руб,pre-seed,False,,
inapp,legal & regtech,юриспруденция и регуляторные технологии,сервис страхования жилья,сервис страхования жилья,до 100 млн.руб,pre-seed,False,,
youtool,proptech,технология собственности,маркетплейс строительной техники,маркетплейс строительной техники,до 100 млн.руб,pre-seed,False,,
medrabotnik.online,edtech,образовательные технологии,обучение мед персонала,обучение мед персонала,до 100 млн.руб,pre-seed,False,,
трастрент,fintech,финансовые технологии,маркетплейс сервисов и решений для аренды недвижимости,маркетплейс сервисов и решений для аренды недвижимости,до 100 млн.руб,pre-seed,False,,
magic kids,edtech,образовательные технологии,интерактивное обучение через ar и vr,интерактивное обучение через ar и vr,до 100 млн.руб,pre-seed,False,,
финансист,fintech,финансовые технологии,финансовый помощник для среднего бизнеса,финансовый помощник для среднего бизнеса,до 100 млн.руб,pre-seed,False,,
instateka,fintech,финансовые технологии,агрегатор ипотечных кредитов для риэлторов,агрегатор ипотечных кредитов для риэлторов,до 100 млн.руб,pre-seed,False,,
jetlend,fintech,финансовые технологии,онлайн-кредит для бизнеса от частных инвесторов,онлайн-кредит для бизнеса от частных инвесторов,до 100 млн.руб,pre-seed,False,,
xo analytics,business intelligence,бизнес аналитика,сервис для поиска точек роста для компаний,сервис для поиска точек роста для компаний,до 100 млн.руб,pre-seed,False,,
educate online,edtech,образовательные технологии,агрегатор онлайн-школ для детей заграницей,агрегатор онлайн-школ для детей заграницей,до 100 млн.руб,pre-seed,False,,
geo wow,proptech,технология собственности,сервис по поиску помещений для прибыли,сервис по поиску помещений для прибыли,до 100 млн.руб,pre-seed,False,,
rentride,proptech,технология собственности,сервис каршеринга,сервис каршеринга,до 100 млн.руб,pre-seed,False,,
buddy.ai,edtech,образовательные технологии,обучение английскому языку через диалоги,обучение английскому языку через диалоги,до 100 млн.руб,pre-seed,False,,
meleton,edtech,образовательные технологии,платформа для создания онлайн-курсов,платформа для создания онлайн-курсов,до 100 млн.руб,pre-seed,False,,
uma,advertising & marketing,реклама и маркетинг,cpa платформа для блогеров,cpa платформа для блогеров,до 100 млн.руб,pre-seed,False,,
карусель,,,кикшеринг,кикшеринг,до 100 млн.руб,pre-seed,False,,
cyberdrone,proptech,технология собственности,всепогодный беспилотник,всепогодный беспилотник,до 100 млн.руб,pre-seed,False,,
enabla,edtech,образовательные технологии,цифровизация курсов для университетов,цифровизация курсов для университетов,до 100 млн.руб,pre-seed,False,,
читания,edtech,образовательные технологии,мобильное приложение по обучению чтению детей,мобильное приложение по обучению чтению детей,до 100 млн.руб,pre-seed,False,,
barabook,edtech,образовательные технологии,карточки для обучения,карточки для обучения,до 100 млн.руб,pre-seed,False,,
diged,edtech,образовательные технологии,платформа организации образовательных курсов для детей,платформа организации образовательных курсов для детей,до 100 млн.руб,pre-seed,False,,
cosmovisa,fintech,финансовые технологии,сервис по возврату средств от мошенников,сервис по возврату средств от мошенников,до 100 млн.руб,pre-seed,False,,
bankcreditcard,fintech,финансовые технологии,маркетплейс кредитных карт,маркетплейс кредитных карт,до 100 млн.руб,pre-seed,False,,
e-tiketka,fintech,финансовые технологии,white label платформа товарного маркетплейса для банков.,white label платформа товарного маркетплейса для банков.,до 100 млн.руб,pre-seed,False,,
volts,energy,энергетика,производство накопителя электроэнергии,производство накопителя электроэнергии,до 100 млн.руб,pre-seed,False,,
adapty,business intelligence,бизнес аналитика,аналитика для мобильных приложений,аналитика для мобильных приложений,до 100 млн.руб,pre-seed,False,,
wundershild,ai,искусственный интеллект,сервис по расследованию финансовых преступлений,сервис по расследованию финансовых преступлений,до 100 млн.руб,pre-seed,False,,
realty cloud,ai,искусственный интеллект,скоринг недвижимости на юридические риски,скоринг недвижимости на юридические риски,до 100 млн.руб,pre-seed,False,,
sovtes,transport & logistics,транспорт и логистика,снижение затрат корпораций на логистику,снижение затрат корпораций на логистику,до 100 млн.руб,pre-seed,False,,
refin.online,fintech,финансовые технологии,управление ипотекой,управление ипотекой,до 100 млн.руб,pre-seed,False,,
tag,fintech,финансовые технологии,цифровой банк,цифровой банк,до 100 млн.руб,pre-seed,False,,
puzzle english,edtech,образовательные технологии,сервис для изучения английского языка,сервис для изучения английского языка,до 100 млн.руб,pre-seed,False,,
b2btrade,,,fcmg оптовый маркетплейс,fcmg оптовый маркетплейс,до 100 млн.руб,pre-seed,False,,
finpanda,fintech,финансовые технологии,платформа для выпуска и торговли деривативами на telegram каналы,платформа для выпуска и торговли деривативами на telegram каналы,до 100 млн.руб,pre-seed,False,,
finmv,fintech,финансовые технологии,no code решения для fintech компаний,no code решения для fintech компаний,до 100 млн.руб,pre-seed,False,,
податьвсуд,legal & regtech,юриспруденция и регуляторные технологии,портал для подачи документов в суд онлайн,портал для подачи документов в суд онлайн,до 100 млн.руб,pre-seed,False,,
клауддокс,medtech,медицинские технологии,плафторма для хранения медицинских данных,плафторма для хранения медицинских данных,до 100 млн.руб,pre-seed,False,,
vilka,foodtech,пищевые технологии,цифровой официант для ресторанов и кафе,цифровой официант для ресторанов и кафе,до 100 млн.руб,pre-seed,False,,
tasty club,foodtech,пищевые технологии,агрегатор скидок от ресторанов,агрегатор скидок от ресторанов,до 100 млн.руб,pre-seed,False,,
online patent,legal & regtech,юриспруденция и регуляторные технологии,сервис для регистрации авторского права,сервис для регистрации авторского права,до 100 млн.руб,pre-seed,False,,
exedrive,advertising & marketing,реклама и маркетинг,сервис повышения эффективности маркетологов,сервис повышения эффективности маркетологов,до 100 млн.руб,pre-seed,False,,
flyvi,advertising & marketing,реклама и маркетинг,сервис для создания и публикации сторис на сайте,сервис для создания и публикации сторис на сайте,до 100 млн.руб,pre-seed,False,,
happy nappy,edtech,образовательные технологии,обучение детей в группах,обучение детей в группах,до 100 млн.руб,pre-seed,False,,
maxbonus,advertising & marketing,реклама и маркетинг,сервис для увеличения лояльности покупателей в розничных магазинах,сервис для увеличения лояльности покупателей в розничных магазинах,до 100 млн.руб,pre-seed,False,,
снтклуб,proptech,технология собственности,сервис для председателей и садоводов снт,сервис для председателей и садоводов снт,до 100 млн.руб,pre-seed,False,,
russia.study,edtech,образовательные технологии,маркетплейс российского образования для иностранных студентов,маркетплейс российского образования для иностранных студентов,до 100 млн.руб,pre-seed,False,,
gobuild,proptech,технология собственности,"ускоритель стройки, приложение для замерщиков, прорабов и строительных компаний","ускоритель стройки, приложение для замерщиков, прорабов и строительных компаний",до 100 млн.руб,pre-seed,False,,
connectedhome,proptech,технология собственности,система защиты дома,система защиты дома,до 100 млн.руб,pre-seed,False,,
oyster,edtech,образовательные технологии,умные наборы по профессиям для детей,умные наборы по профессиям для детей,до 100 млн.руб,pre-seed,False,,
